"","Entity","CUI","Freq","Tid","Tname"
"1622","impaired spatial memory","C0814087",5,"T041","Mental Process"
"1624","adhd mean","C4068324",5,"T033","Finding"
"1630","heterogeneous disorder","C3550575",5,"T033","Finding"
"1639","major depression disorder","C0154409",5,"T048","Mental or Behavioral Dysfunction"
"1646","restricted and repetitive interests","C2675334",5,"T033","Finding"
"1647","unhelpful thoughts","C0039869",5,"T041","Mental Process"
"1649","restricted and repetitive patterns of behavior","C4064201",5,"T033","Finding"
"1650","significant baseline imbalance]","C1397014",5,"T184","Sign or Symptom"
"1653","general anxiety disorder","C0270549",5,"T048","Mental or Behavioral Dysfunction"
"1654","absence seizures","C0014553",5,"T047","Disease or Syndrome"
"1655","motor delay","C1854301",5,"T033","Finding"
"1656","increased extra-axial csf","C4274507",5,"T047","Disease or Syndrome"
"1657","outcome variables","C1842661",5,"T033","Finding"
"1665","voice prosody","C0233743",5,"T033","Finding"
"1666","anxious affect","C1849159",5,"T033","Finding"
"1668","severe anxiety","C0231403",5,"T033","Finding"
"1671","mental illnesses","C0004936",5,"T048","Mental or Behavioral Dysfunction"
"1676","cognitive abnormalities","C0683322",5,"T048","Mental or Behavioral Dysfunction"
"1677","heart rate variability","C0429478",5,"T033","Finding"
"1678","heart failure","C0018801",5,"T047","Disease or Syndrome"
"1679","heart disease","C0018799",5,"T047","Disease or Syndrome"
"1683","head orientation","C0029266",5,"T041","Mental Process"
"1684","anxiety-like behaviors","C0474385",5,"T033","Finding"
"1685","perpetration of bullying","C0424318",5,"T048","Mental or Behavioral Dysfunction"
"1689","difficulties with social interaction","C4015169",5,"T033","Finding"
"1692","anxiety-related behavior","C4018849",5,"T048","Mental or Behavioral Dysfunction"
"1695","somatic disease","C0149779",5,"T048","Mental or Behavioral Dysfunction"
"1697","severe restricted and repetitive behaviors","C1827547",5,"T033","Finding"
"1698","maternal influenza infection","C0239997",5,"T033","Finding"
"1700","systemic inflammation","C0178264",5,"T047","Disease or Syndrome"
"1705","cognitive decline","C0234985",5,"T048","Mental or Behavioral Dysfunction"
"1711","bilateral ai","C0003504",5,"T047","Disease or Syndrome"
"1713","gestational hypertension","C0852036",5,"T047","Disease or Syndrome"
"1714","risk factors","C0035648",5,"T033","Finding"
"1718","risk of attention deficit hyperactivity disorder","C1263846",5,"T048","Mental or Behavioral Dysfunction"
"1719","new hypotheses","C2372007",5,"T041","Mental Process"
"1724","dass anxiety","C1832594",5,"T047","Disease or Syndrome"
"1731","behavioral clusters","C0852549",5,"T048","Mental or Behavioral Dysfunction"
"1732","motor problems","C0233843",5,"T048","Mental or Behavioral Dysfunction"
"1735","specific disorders","C0029741",5,"T047","Disease or Syndrome"
"1741","oppositional traits","C0231519",5,"T033","Finding"
"1742","alcohol abuse","C0085762",5,"T048","Mental or Behavioral Dysfunction"
"1743","neurodevelopmental diseases","C1535926",5,"T048","Mental or Behavioral Dysfunction"
"1745","gaze behavior","C0553544",5,"T033","Finding"
"1750","repetitive-stereotyped behaviour","C0038271",5,"T055","Individual Behavior"
"1752","averted gaze blocks","C0553544",5,"T033","Finding"
"1755","high psychopathic traits","C0233859",5,"T048","Mental or Behavioral Dysfunction"
"1756","adhd – attention deficit hyperactivity disorder","C1263846",5,"T048","Mental or Behavioral Dysfunction"
"1757","repetitive behavior scale","C1827547",5,"T033","Finding"
"1759","schizotypal personality questionnaire","C0036363",5,"T048","Mental or Behavioral Dysfunction"
"1760","neurodevelopmental disorder diagnosis","C1535926",5,"T048","Mental or Behavioral Dysfunction"
"1762","oppositional symptoms","C0231519",5,"T033","Finding"
"1765","multifactorial disease","C1837655",5,"T033","Finding"
"1767","increased susceptibility","C0857816",5,"T033","Finding"
"1768","paranoid schizophrenia","C0036349",5,"T048","Mental or Behavioral Dysfunction"
"1770","white matter injury","C3897170",5,"T033","Finding"
"1773","decreased activity","C0086439",5,"T033","Finding"
"1776","high specificity","C0428609",5,"T033","Finding"
"1783","brain mri abnormalities","C1319851",4,"T033","Finding"
"1784","complex diseases","C0020951",4,"T047","Disease or Syndrome"
"1785","clinical complaints","C0277786",4,"T033","Finding"
"1791","neurodevelopmental problems","C1535926",4,"T048","Mental or Behavioral Dysfunction"
"1794","specific syndrome","C1446648",4,"T047","Disease or Syndrome"
"1797","matthews et","C1832661",4,"T047","Disease or Syndrome"
"1798","sotos syndrome","C0175695",4,"T047","Disease or Syndrome"
"1799","unusual behaviors","C2188220",4,"T184","Sign or Symptom"
"1800","memory difficulties","C1843862",4,"T033","Finding"
"1801","meconium aspiration","C0025048",4,"T047","Disease or Syndrome"
"1804","angelman syndrome (as)","C0162635",4,"T047","Disease or Syndrome"
"1805","kleefstra syndrome","C0795833",4,"T047","Disease or Syndrome"
"1806","memory consolidation","C0679057",4,"T041","Mental Process"
"1807","improved symptoms","C3248266",4,"T033","Finding"
"1811","childhood obesity","C2362324",4,"T047","Disease or Syndrome"
"1815","impaired learning","C0423943",4,"T033","Finding"
"1818","multiple disabilities","C0935560",4,"T047","Disease or Syndrome"
"1821","child behaviour problems","C0474413",4,"T048","Mental or Behavioral Dysfunction"
"1822","increased interest","C0021177",4,"T184","Sign or Symptom"
"1823","cognitive ability","C0392334",4,"T041","Mental Process"
"1824","bpd interactions","C0006287",4,"T047","Disease or Syndrome"
"1831","somatic problems","C0149779",4,"T048","Mental or Behavioral Dysfunction"
"1837","ibm spss statistics","C0238190",4,"T047","Disease or Syndrome"
"1838","celiac disease","C0007570",4,"T047","Disease or Syndrome"
"1839","stereotypic behaviour","C0038271",4,"T055","Individual Behavior"
"1842","alzheimer disease","C0002395",4,"T047","Disease or Syndrome"
"1843","stereotyped or repetitive behaviors","C0038271",4,"T055","Individual Behavior"
"1844","medial temporal amnesia","C0002622",4,"T048","Mental or Behavioral Dysfunction"
"1845","specific genetic variants","C1953337",4,"T033","Finding"
"1846","increased familiarity","C0600269",4,"T041","Mental Process"
"1847","inattention symptoms","C4068325",4,"T033","Finding"
"1850","social impairments","C1998998",4,"T033","Finding"
"1851","multiple anxiety disorders","C0003469",4,"T048","Mental or Behavioral Dysfunction"
"1856","neurological illness","C2186518",4,"T033","Finding"
"1859","inappropriate sexualized behavior","C0474420",4,"T033","Finding"
"1860","bullying involvement in adolescents","C0424318",4,"T048","Mental or Behavioral Dysfunction"
"1862","cognitively impaired","C0338656",4,"T048","Mental or Behavioral Dysfunction"
"1869","social interaction problems","C0037420",4,"T033","Finding"
"1871","neonatal seizures","C0159020",4,"T047","Disease or Syndrome"
"1875","communication ability","C0565998",4,"T033","Finding"
"1876","cognitive problems","C3842628",4,"T033","Finding"
"1878","social anxiety/inflexibility","C0424166",4,"T048","Mental or Behavioral Dysfunction"
"1884","communication disorder","C0009460",4,"T048","Mental or Behavioral Dysfunction"
"1886","inattention/hyperactivity/executive function)","C0935584",4,"T041","Mental Process"
"1887","neurological conditions","C2712564",4,"T033","Finding"
"1888","mcdermid syndrome","C1853490",4,"T047","Disease or Syndrome"
"1890","aggression/peer problems","C3532917",4,"T033","Finding"
"1891","iron deficiency","C0240066",4,"T047","Disease or Syndrome"
"1894","unspecified depressive disorder","C0349218",4,"T048","Mental or Behavioral Dysfunction"
"1896","comorbid behaviors","C0009488",4,"T033","Finding"
"1898","comorbid condition","C1275743",4,"T033","Finding"
"1899","static facial expressions","C0015457",4,"T033","Finding"
"1902","intractable epilepsy","C1096063",4,"T047","Disease or Syndrome"
"1903","chronic tinnitus","C0749513",4,"T047","Disease or Syndrome"
"1905","non-adhd controls","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"1907","changes in behavior","C0542299",4,"T055","Individual Behavior"
"1909","cognitive delay","C1864897",4,"T033","Finding"
"1911","characteristic motor behaviors","C1285662",4,"T055","Individual Behavior"
"1912","clinical depression","C2362914",4,"T048","Mental or Behavioral Dysfunction"
"1913","spectrum disorder","C0027873",4,"T047","Disease or Syndrome"
"1914","neurobehavioral abnormalities","C0872354",4,"T033","Finding"
"1915","speech disorders","C0037822",4,"T047","Disease or Syndrome"
"1918","chronic stress","C1510527",4,"T033","Finding"
"1920","spd subjects","C2609259",4,"T047","Disease or Syndrome"
"1923","neurological symptoms","C0235031",4,"T184","Sign or Symptom"
"1925","bullying perpetration","C0424318",4,"T048","Mental or Behavioral Dysfunction"
"1926","allergic disease","C1504369",4,"T047","Disease or Syndrome"
"1928","cognitive disability","C0548845",4,"T033","Finding"
"1934","chronic psychological stress","C0038443",4,"T048","Mental or Behavioral Dysfunction"
"1936","chronic schizophrenia","C0221765",4,"T048","Mental or Behavioral Dysfunction"
"1938","cerebellar injury","C0344191",4,"T047","Disease or Syndrome"
"1941","microdeletion syndrome","C1954751",4,"T047","Disease or Syndrome"
"1944","disruptive behaviors","C0474416",4,"T033","Finding"
"1945","respiratory disease","C0035204",4,"T047","Disease or Syndrome"
"1954","general behavioral problems","C0233514",4,"T048","Mental or Behavioral Dysfunction"
"1957","averted gaze conditions","C0553544",4,"T033","Finding"
"1958","restricted, repetitive behaviors","C1827547",4,"T033","Finding"
"1959","physical illness","C0683323",4,"T047","Disease or Syndrome"
"1960","restrictive and repetitive behavior","C1827547",4,"T033","Finding"
"1961","less intensive","C3843482",4,"T033","Finding"
"1962","physical aggression","C0424323",4,"T033","Finding"
"1963","generalised seizures","C0234533",4,"T047","Disease or Syndrome"
"1964","aβ plaques","C0332461",4,"T033","Finding"
"1965","restrictive/repetitive behaviors","C1827547",4,"T033","Finding"
"1966","disengagement latency","C0233222",4,"T184","Sign or Symptom"
"1969","moderate symptoms","C0436344",4,"T033","Finding"
"1971","moderate to severe intellectual disability","C4014246",4,"T033","Finding"
"1973","gaze shifts","C0553544",4,"T033","Finding"
"1975","autoimmune disorders","C0004364",4,"T047","Disease or Syndrome"
"1981","poor response","C3553376",4,"T033","Finding"
"1982","inflammation in the brain","C0014038",4,"T047","Disease or Syndrome"
"1983","functional abnormalities","C0086565",4,"T033","Finding"
"1985","widely different vaccination schedules","C1536098",4,"T033","Finding"
"1986","regression lines","C0684321",4,"T041","Mental Process"
"1987","down’s syndrome","C0013080",4,"T047","Disease or Syndrome"
"1988","related developmental disorders","C1408675",4,"T047","Disease or Syndrome"
"1994","fxsfragile x syndrome","C0206064",4,"T047","Disease or Syndrome"
"1999","repetitive behavior and sensory responsiveness","C1827547",4,"T033","Finding"
"2001","repetitive movements","C0038271",4,"T055","Individual Behavior"
"2002","gastroesophageal reflux","C0017168",4,"T047","Disease or Syndrome"
"2003","gastrointestinal abnormalities","C1262083",4,"T033","Finding"
"2004","gastrointestinal issues","C0033213",4,"T033","Finding"
"2013","scdc - social-communication disorder","C0150080",4,"T048","Mental or Behavioral Dysfunction"
"2014","learning behaviors","C0679140",4,"T055","Individual Behavior"
"2015","perceived stigma","C0277787",4,"T033","Finding"
"2016","perceived pain","C0030971",4,"T041","Mental Process"
"2017","perceived distress","C0030971",4,"T041","Mental Process"
"2019","schizophrenia spectrum disorder","C0525046",4,"T048","Mental or Behavioral Dysfunction"
"2020","schizophrenia subjects","C2732341",4,"T033","Finding"
"2023","behavioral challenges","C0474414",4,"T033","Finding"
"2024","schizotypal personality disorder","C0036363",4,"T048","Mental or Behavioral Dysfunction"
"2028","pdd-nospervasive developmental disorder","C0524528",4,"T048","Mental or Behavioral Dysfunction"
"2031","sd) mean (sd","C3554442",4,"T033","Finding"
"2035","diabetes event","C0342312",4,"T047","Disease or Syndrome"
"2038","anxiety responses","C0516709",4,"T033","Finding"
"2043","difficulties in social interactions","C0517029",4,"T033","Finding"
"2052","rigid thinking","C0589139",4,"T041","Mental Process"
"2053","baseline imbalance","C1397014",4,"T184","Sign or Symptom"
"2054","diminished social motivation","C0456814",4,"T033","Finding"
"2068","syndromic autisms","C1854416",4,"T047","Disease or Syndrome"
"2069","perinatal risk factors","C1171167",4,"T033","Finding"
"2084","environmental triggers","C1968889",4,"T033","Finding"
"2085","atopic diseases","C0011615",4,"T047","Disease or Syndrome"
"2086","pure adhd","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2087","environmental changes","C4060636",4,"T033","Finding"
"2089","false-positive rate","C0205557",4,"T033","Finding"
"2091","intellectual ability","C0423898",4,"T033","Finding"
"2093","attention deficit/hyperactivity problems","C0339002",4,"T048","Mental or Behavioral Dysfunction"
"2094","aberrant behaviour","C0233942",4,"T048","Mental or Behavioral Dysfunction"
"2099","tone of voice","C1821250",4,"T033","Finding"
"2103","rare duplications","C3549611",4,"T033","Finding"
"2104","emotional response","C0870485",4,"T041","Mental Process"
"2105","emotional recognition","C0524637",4,"T041","Mental Process"
"2106","emotional reactions","C0221736",4,"T033","Finding"
"2109","inflammatory conditions","C0155954",4,"T047","Disease or Syndrome"
"2110","psychiatric conditions","C0260517",4,"T033","Finding"
"2111","explicative hypotheses","C2372007",4,"T041","Mental Process"
"2117","externalising problems","C0033213",4,"T033","Finding"
"2119","externalizing disorders","C0155388",4,"T047","Disease or Syndrome"
"2120","externalizing symptoms","C0424136",4,"T033","Finding"
"2125","evans et","C0272126",4,"T047","Disease or Syndrome"
"2126","episode psychosis","C0338614",4,"T048","Mental or Behavioral Dysfunction"
"2127","psychological disorder","C0004936",4,"T048","Mental or Behavioral Dysfunction"
"2128","psychological symptoms","C0233397",4,"T184","Sign or Symptom"
"2130","total srs scores","C0175693",4,"T047","Disease or Syndrome"
"2134","problem behavior","C0233514",4,"T048","Mental or Behavioral Dysfunction"
"2136","facial expression","C0015457",4,"T033","Finding"
"2140","psychotic disorder code","C0033975",4,"T048","Mental or Behavioral Dysfunction"
"2141","emotional reaction","C0221736",4,"T033","Finding"
"2142","fetal alcohol syndrome","C0015923",4,"T047","Disease or Syndrome"
"2143","emotional empathy","C0013989",4,"T055","Individual Behavior"
"2147","postprandial hyperglycemia","C1855520",4,"T033","Finding"
"2148","working memory deficits","C0233794",4,"T048","Mental or Behavioral Dysfunction"
"2149","atypical sensory responses","C1850384",4,"T047","Disease or Syndrome"
"2150","folic acid deficiency","C0016412",4,"T047","Disease or Syndrome"
"2151","early-onset schizophrenia","C1656427",4,"T048","Mental or Behavioral Dysfunction"
"2153","early symptomatic syndromes","C0153139",4,"T047","Disease or Syndrome"
"2155","early onset neurodevelopmental disorders","C1970828",4,"T033","Finding"
"2158","theta activity","C0429286",4,"T033","Finding"
"2160","abnormal behaviors","C0233514",4,"T048","Mental or Behavioral Dysfunction"
"2162","positive outcomes","C1998806",4,"T033","Finding"
"2170","thalamic volume","C4022771",4,"T033","Finding"
"2171","low movement frames","C0235659",4,"T033","Finding"
"2177","reduced cortical thickness","C4230334",4,"T033","Finding"
"2179","rbs-rrepetitive behavior scale","C0392475",4,"T047","Disease or Syndrome"
"2181","emotion recognition impairments","C4064035",4,"T033","Finding"
"2186","elevated symptoms","C2129411",4,"T184","Sign or Symptom"
"2189","first block","C0085614",4,"T047","Disease or Syndrome"
"2193","elevated levels of loneliness","C4048230",4,"T033","Finding"
"2194","elevated levels of anxiety","C0564474",4,"T033","Finding"
"2202","thought problems","C2115901",4,"T033","Finding"
"2207","worse symptoms","C2126086",4,"T184","Sign or Symptom"
"2209","main effect of duration","C2135526",4,"T033","Finding"
"2211","daily sensory symptoms","C0423551",4,"T033","Finding"
"2212","adhd t","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2214","adhd trait","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2215","high rates of adhd","C4068326",4,"T033","Finding"
"2218","significant effect of condition","C4062808",4,"T033","Finding"
"2221","adhd, attention-deficit hyperactivity disorder","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2222","dass depression","C1832594",4,"T047","Disease or Syndrome"
"2223","optic atrophy","C0029124",4,"T047","Disease or Syndrome"
"2224","oppositional behaviors","C2013199",4,"T184","Sign or Symptom"
"2226","decrease in irritability","C2169537",4,"T033","Finding"
"2227","adhd-like traits","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2230","significant group difference","C0428676",4,"T033","Finding"
"2231","high variability","C2674362",4,"T033","Finding"
"2234","maladaptive behaviors","C0562443",4,"T033","Finding"
"2236","movement disorders","C0026650",4,"T047","Disease or Syndrome"
"2238","significant interaction between gaze","C1319490",4,"T033","Finding"
"2240","increased spine density","C0029053",4,"T033","Finding"
"2241","significant difference in effect","C0566127",4,"T033","Finding"
"2242","heterozygous mutations","C2585684",4,"T047","Disease or Syndrome"
"2246","decreased social interaction","C0037420",4,"T033","Finding"
"2247","decreased sociability","C0558182",4,"T054","Social Behavior"
"2248","motor behavior","C0026606",4,"T056","Daily or Recreational Activity"
"2250","adhd participants","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2253","decreased neuronal proliferation decreased brain volume","C2749062",4,"T033","Finding"
"2256","adhd prevalence","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2258","original srs","C0175693",4,"T047","Disease or Syndrome"
"2259","significant adhd","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2261","adhd risk","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2267","adhd subjects","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2268","adhd subtypes","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2271","adhd symptomatology","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2276","substantial variability","C3266666",4,"T033","Finding"
"2282","metabolic changes","C1304475",4,"T047","Disease or Syndrome"
"2286","vaccine hesitancy","C0152032",4,"T184","Sign or Symptom"
"2289","substance-related death","C0749074",4,"T048","Mental or Behavioral Dysfunction"
"2290","intolerance of uncertainty","C0087130",4,"T033","Finding"
"2292","animal abuse","C0562381",4,"T033","Finding"
"2295","hyperactive disorder","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2297","non‐affective psychosis","C0001723",4,"T048","Mental or Behavioral Dysfunction"
"2299","lack of imagination","C0020913",4,"T041","Mental Process"
"2302","hyperactivity/impulsivity severity","C2231354",4,"T048","Mental or Behavioral Dysfunction"
"2303","single gene disorders","C0037176",4,"T047","Disease or Syndrome"
"2307","mt synaesthesia","C0233778",4,"T048","Mental or Behavioral Dysfunction"
"2308","cross-dimensional trait-disorder overlap","C0233950",4,"T048","Mental or Behavioral Dysfunction"
"2312","increased ria","C0241321",4,"T033","Finding"
"2319","language disability","C0023015",4,"T048","Mental or Behavioral Dysfunction"
"2320","obsessive–compulsive disorder (ocd","C0028768",4,"T048","Mental or Behavioral Dysfunction"
"2321","significant time x stimulus type interaction","C1319490",4,"T033","Finding"
"2322","language deficits","C0023012",4,"T033","Finding"
"2323","cornelia de lange syndrome","C0270972",4,"T047","Disease or Syndrome"
"2332","lactic acidosis","C0001125",4,"T047","Disease or Syndrome"
"2334","metabolic diseases","C0025517",4,"T047","Disease or Syndrome"
"2336","bipolar disorders","C0005586",4,"T048","Mental or Behavioral Dysfunction"
"2339","severe in sensory)","C1843184",4,"T033","Finding"
"2341","adhd d adhd","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2343","increasing recognition","C0524637",4,"T041","Mental Process"
"2346","severe anxiety disorders","C0231403",4,"T033","Finding"
"2349","heightened sensory sensitivity","C4062604",4,"T033","Finding"
"2353","depression scores","C3483981",4,"T033","Finding"
"2355","severe cognitive impairment","C3554639",4,"T033","Finding"
"2356","parkinson's disease","C0030567",4,"T047","Disease or Syndrome"
"2357","severe in cars","C2133775",4,"T033","Finding"
"2361","victimization of bullying","C0562379",4,"T033","Finding"
"2363","behavioural changes","C0542299",4,"T055","Individual Behavior"
"2364","sensory signals","C0597440",4,"T041","Mental Process"
"2365","severe disabilities","C0424990",4,"T033","Finding"
"2369","symptoms of depression","C0086132",4,"T184","Sign or Symptom"
"2370","sensory inputs","C0036674",4,"T033","Finding"
"2381","main effect of gaze","C0553544",4,"T033","Finding"
"2386","adhd factors","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2387","adhd = attention deficit hyperactivity disorder","C1263846",4,"T048","Mental or Behavioral Dysfunction"
"2388","separation anxiety disorder","C0003477",4,"T048","Mental or Behavioral Dysfunction"
"2389","sexual assault","C0237236",4,"T048","Mental or Behavioral Dysfunction"
"2391","internalizing problems","C0260704",4,"T033","Finding"
"2393","main symptoms","C3177142",4,"T184","Sign or Symptom"
"2396","self-other discrimination language task","C1821532",4,"T033","Finding"
"2397","increased variability","C4017843",4,"T033","Finding"
"2399","interpersonal difficulties","C0814588",4,"T033","Finding"
"2400","topic shift","C3843898",3,"T033","Finding"
"2406","atypical developmental profiles","C2062758",3,"T048","Mental or Behavioral Dysfunction"
"2407","behavioural abnormalities","C0233514",3,"T048","Mental or Behavioral Dysfunction"
"2409","attention difficulties","C0566195",3,"T033","Finding"
"2411","attentional deficits","C0041671",3,"T048","Mental or Behavioral Dysfunction"
"2418","increased rates","C0151632",3,"T033","Finding"
"2419","bullying victim","C0562379",3,"T033","Finding"
"2421","behavioral alterations","C0542299",3,"T055","Individual Behavior"
"2432","structural brain abnormalities","C1866933",3,"T033","Finding"
"2433","insomnia symptoms","C0917801",3,"T184","Sign or Symptom"
"2434","mild/moderate/severe pain","C3843203",3,"T033","Finding"
"2440","bpd risk","C0006287",3,"T047","Disease or Syndrome"
"2443","behavioral disturbances","C0233514",3,"T048","Mental or Behavioral Dysfunction"
"2444","bronchial asthma","C0004096",3,"T047","Disease or Syndrome"
"2445","toxic exposure","C0149685",3,"T033","Finding"
"2446","mild to moderate in sensory) 21","C1844866",3,"T033","Finding"
"2447","total rbs","C0392475",3,"T047","Disease or Syndrome"
"2448","toxic metals","C0451769",3,"T047","Disease or Syndrome"
"2450","substance use disorders","C0038586",3,"T048","Mental or Behavioral Dysfunction"
"2451","substance use","C0237123",3,"T048","Mental or Behavioral Dysfunction"
"2452","behavioral reactions","C1385300",3,"T048","Mental or Behavioral Dysfunction"
"2457","morbid psychiatric disorders","C0004936",3,"T048","Mental or Behavioral Dysfunction"
"2458","bosch–boonstra–schaaf optic atrophy syndrome","C3810363",3,"T047","Disease or Syndrome"
"2460","substance-related problem","C0848950",3,"T048","Mental or Behavioral Dysfunction"
"2461","substance-related problems","C0848950",3,"T048","Mental or Behavioral Dysfunction"
"2463","synaptic cleft","C4229046",3,"T033","Finding"
"2464","attention deficit disorder","C0041671",3,"T048","Mental or Behavioral Dysfunction"
"2469","attention abnormalities","C0004268",3,"T041","Mental Process"
"2473","mind difficulties","C0229992",3,"T041","Mental Process"
"2474","increasing interest","C0021177",3,"T184","Sign or Symptom"
"2476","blunted car","C2136739",3,"T033","Finding"
"2481","total difficulties","C3263411",3,"T033","Finding"
"2484","increased production","C0152227",3,"T047","Disease or Syndrome"
"2487","bold response","C0678341",3,"T055","Individual Behavior"
"2489","increased hyperactivity","C0424295",3,"T048","Mental or Behavioral Dysfunction"
"2490","atopic disease","C0011615",3,"T047","Disease or Syndrome"
"2494","symptom manifestations","C3806590",3,"T033","Finding"
"2504","increased frequency","C0042023",3,"T033","Finding"
"2507","motor dysfunctions","C0521654",3,"T033","Finding"
"2508","increased stereotypy","C0038273",3,"T048","Mental or Behavioral Dysfunction"
"2509","bacterial infections","C0004623",3,"T047","Disease or Syndrome"
"2512","stressful situations","C0037219",3,"T184","Sign or Symptom"
"2515","callosal abnormalities","C0175713",3,"T047","Disease or Syndrome"
"2519","increased latency","C0429369",3,"T033","Finding"
"2522","motor stereotypies","C3898226",3,"T033","Finding"
"2523","multiple cfs","C0015674",3,"T047","Disease or Syndrome"
"2524","infant meta-behaviors","C0242952",3,"T055","Individual Behavior"
"2525","moderate insomnia","C0917801",3,"T184","Sign or Symptom"
"2527","bilateral sma","C0026847",3,"T047","Disease or Syndrome"
"2530","averting gaze","C0553544",3,"T033","Finding"
"2534","multiple birth","C2015861",3,"T033","Finding"
"2535","motor coordination problems","C4015565",3,"T033","Finding"
"2538","motor deficit","C0521654",3,"T033","Finding"
"2541","symptom expression","C2077896",3,"T184","Sign or Symptom"
"2542","technical failure","C3842241",3,"T033","Finding"
"2543","infectious diseases","C0009450",3,"T047","Disease or Syndrome"
"2546","subarachnoid hemorrhage","C0038525",3,"T047","Disease or Syndrome"
"2549","motor difficulties","C0563327",3,"T033","Finding"
"2558","movement disorder","C0026650",3,"T047","Disease or Syndrome"
"2564","atypical pupil responses","C0155375",3,"T047","Disease or Syndrome"
"2565","thimerosal exposure in denmark","C1277355",3,"T033","Finding"
"2566","behavior change","C0542299",3,"T055","Individual Behavior"
"2567","atypical subject i","C2097993",3,"T033","Finding"
"2568","infantile spasms","C0037769",3,"T047","Disease or Syndrome"
"2570","syndromic genes","C0265257",3,"T047","Disease or Syndrome"
"2574","streptococcal infection","C0038395",3,"T047","Disease or Syndrome"
"2575","brain dysfunction","C0262405",3,"T047","Disease or Syndrome"
"2579","thoughts problems","C2115901",3,"T033","Finding"
"2583","brain lesions","C0221505",3,"T047","Disease or Syndrome"
"2584","mitochondrial disorder","C0751651",3,"T047","Disease or Syndrome"
"2585","mitochondrial diseases","C0751651",3,"T047","Disease or Syndrome"
"2586","motor symptoms","C0426980",3,"T184","Sign or Symptom"
"2591","talker voice compensation","C0878785",3,"T033","Finding"
"2595","systemic lupus erythematosus","C0024141",3,"T047","Disease or Syndrome"
"2596","musculoskeletal pain","C0026858",3,"T033","Finding"
"2598","inflammatory processes","C0749224",3,"T047","Disease or Syndrome"
"2601","suicide risk","C0563664",3,"T033","Finding"
"2603","brain inflammation","C0014038",3,"T047","Disease or Syndrome"
"2604","stress symptoms","C0521991",3,"T184","Sign or Symptom"
"2606","brain growth abnormalities","C0262361",3,"T033","Finding"
"2609","inflexible adherence to routines","C1837653",3,"T033","Finding"
"2611","significant main effect of game","C0150593",3,"T056","Daily or Recreational Activity"
"2612","increased appetite","C0232461",3,"T033","Finding"
"2613","parkinson disease","C0030567",3,"T047","Disease or Syndrome"
"2615","rett disorder","C0035372",3,"T047","Disease or Syndrome"
"2616","disease process","C0178269",3,"T047","Disease or Syndrome"
"2617","disease risk","C1281905",3,"T033","Finding"
"2618","disease symptoms","C4264311",3,"T033","Finding"
"2620","restrictive repetitive behaviors","C1827547",3,"T033","Finding"
"2625","restricted interests/behavior","C2675334",3,"T033","Finding"
"2626","restricted interest","C2675334",3,"T033","Finding"
"2627","general behavioral adjustment","C1385300",3,"T048","Mental or Behavioral Dysfunction"
"2628","general anxiety","C0262376",3,"T048","Mental or Behavioral Dysfunction"
"2629","restricted behaviour","C4021799",3,"T048","Mental or Behavioral Dysfunction"
"2630","physiological response","C1546213",3,"T033","Finding"
"2631","physiological responses","C1546213",3,"T033","Finding"
"2632","restricted and repetitive patterns of behaviour","C4064201",3,"T033","Finding"
"2633","restricted and repetitive patterns of behaviors","C4064201",3,"T033","Finding"
"2634","restricted and repetitive behaviours (rrb","C4021799",3,"T048","Mental or Behavioral Dysfunction"
"2635","disease pathology","C0011085",3,"T047","Disease or Syndrome"
"2636","generalized social anxiety disorder","C0031572",3,"T048","Mental or Behavioral Dysfunction"
"2638","phelan-mcdermid syndrome","C1853490",3,"T047","Disease or Syndrome"
"2641","genetic defect","C0743921",3,"T047","Disease or Syndrome"
"2644","genetic condition","C0019247",3,"T047","Disease or Syndrome"
"2648","phelan–mcdermid syndrome","C1853490",3,"T047","Disease or Syndrome"
"2649","rett’s disorder","C0035372",3,"T047","Disease or Syndrome"
"2657","discriminate adhd","C1263846",3,"T048","Mental or Behavioral Dysfunction"
"2658","rett’s syndrome","C0035372",3,"T047","Disease or Syndrome"
"2662","related problems","C0236865",3,"T048","Mental or Behavioral Dysfunction"
"2670","poor attentional control","C0424102",3,"T033","Finding"
"2672","poor communication","C3276616",3,"T033","Finding"
"2674","related neurodevelopmental disorders","C0814154",3,"T047","Disease or Syndrome"
"2675","poor concentration","C0233417",3,"T033","Finding"
"2677","regression line","C0684321",3,"T041","Mental Process"
"2679","drug dependence","C1510472",3,"T048","Mental or Behavioral Dysfunction"
